condition,cell_type,side,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_positive_delta,input_rate_hz,student_mean_rate_hz
body_center_dark,L4,left,721,659,1.07665196282275,1.0686288824235186,0.008023080399231386,1.434844688981111,0.9104704097116844
body_center_dark,L4,right,721,739,1.07665196282275,1.0686288824235186,0.008023080399231386,1.434844688981111,0.6089309878213802
body_center_dark,L5,left,721,821,0.07316258939339473,0.11559486711312514,0.0,0.0,0.0
body_center_dark,L5,right,721,786,0.07316258939339473,0.11559486711312514,0.0,0.0,0.06361323155216285
body_center_dark,Lawf1,left,123,199,-0.5377472580320745,-0.47671180197854796,0.0,0.0,0.0
body_center_dark,Lawf1,right,123,156,-0.5377472580320745,-0.47671180197854796,0.0,0.0,0.0
body_center_dark,Lawf2,left,123,145,0.46587886552258234,0.5242224922327976,0.0,0.0,0.0
body_center_dark,Lawf2,right,123,168,0.46587886552258234,0.5242224922327976,0.0,0.0,0.0
body_center_dark,Mi1,left,721,787,0.43201930989122506,0.8997077064875425,0.0,0.0,0.0
body_center_dark,Mi1,right,721,793,0.43201930989122506,0.8997077064875425,0.0,0.0,0.0
body_center_dark,Mi10,left,721,195,1.05887682526663,1.3249444319103196,0.0,0.0,0.0
body_center_dark,Mi10,right,721,206,1.05887682526663,1.3249444319103196,0.0,0.0,0.0
body_center_dark,Mi13,left,721,367,0.6433666957575884,0.6806043193787956,0.0,0.0,0.0
body_center_dark,Mi13,right,721,353,0.6433666957575884,0.6806043193787956,0.0,0.0,0.0
body_center_dark,Mi14,left,721,124,0.251422932843617,0.2915014032734333,0.0,0.0,0.0
body_center_dark,Mi14,right,721,124,0.251422932843617,0.2915014032734333,0.0,0.0,0.0
body_center_dark,Mi15,left,721,498,-0.008388673300503195,0.3664863612231554,0.0,0.0,0.0
body_center_dark,Mi15,right,721,482,-0.008388673300503195,0.3664863612231554,0.0,0.0,0.0
body_center_dark,Mi2,left,721,410,1.177764822061118,1.2401932511845508,0.0,0.0,0.0
body_center_dark,Mi2,right,721,419,1.177764822061118,1.2401932511845508,0.0,0.0,0.0
body_center_dark,Mi4,left,721,764,1.834587972784924,2.5961487655335427,0.0,0.0,0.0
body_center_dark,Mi4,right,721,764,1.834587972784924,2.5961487655335427,0.0,0.0,0.0
body_center_dark,Mi9,left,721,801,0.5272706671727,0.13652539833143065,0.39074526884126937,69.8807373032312,40.511860174781525
body_center_dark,Mi9,right,721,767,0.5272706671727,0.13652539833143065,0.39074526884126937,69.8807373032312,41.98174706649283
body_center_dark,R7,left,721,672,0.2419519578784849,0.4320753999054432,0.0,0.0,0.0
body_center_dark,R7,right,721,671,0.2419519578784849,0.4320753999054432,0.0,0.0,0.0
body_center_dark,R8,left,721,670,1.443966623504185,1.777094915509224,0.0,0.0,0.0
body_center_dark,R8,right,721,654,1.443966623504185,1.777094915509224,0.0,0.0,0.0
body_center_dark,T1,left,721,645,-0.18422154429880191,-0.33451253229212247,0.15029098799332055,26.877983915579197,18.13953488372093
body_center_dark,T1,right,721,745,-0.18422154429880191,-0.33451253229212247,0.15029098799332055,26.877983915579197,18.25503355704698
body_center_dark,T2,left,721,738,4.421142746687927,5.059273368463272,0.0,0.0,0.0
body_center_dark,T2,right,721,716,4.421142746687927,5.059273368463272,0.0,0.0,0.0
body_center_dark,T2a,left,721,910,0.2756880828166179,0.4931501398707808,0.0,0.0,0.0
body_center_dark,T2a,right,721,871,0.2756880828166179,0.4931501398707808,0.0,0.0,0.0
body_center_dark,T3,left,721,825,0.42110066127303947,0.686323561838695,0.0,0.0,0.0
body_center_dark,T3,right,721,790,0.42110066127303947,0.686323561838695,0.0,0.0,0.0
body_center_dark,T4a,left,721,729,-0.16350402407968256,0.14835371661864027,0.0,0.0,0.0
body_center_dark,T4a,right,721,734,-0.16350402407968256,0.14835371661864027,0.0,0.0,0.0
body_center_dark,T4b,left,721,756,-0.17803228673472155,0.008925139044429887,0.0,0.0,0.0
body_center_dark,T4b,right,721,751,-0.17803228673472155,0.008925139044429887,0.0,0.0,0.0
body_center_dark,T4c,left,721,850,-0.17236412467701737,-0.017588837858833695,0.0,0.0,0.0
body_center_dark,T4c,right,721,842,-0.17236412467701737,-0.017588837858833695,0.0,0.0,0.0
body_center_dark,T4d,left,721,802,-0.13317301953732955,-0.17112019869541534,0.03794717915808579,6.786459285888532,4.177057356608479
body_center_dark,T4d,right,721,776,-0.13317301953732955,-0.17112019869541534,0.03794717915808579,6.786459285888532,5.154639175257732
body_center_dark,T5a,left,721,742,0.26063714672118005,0.11175657638989489,0.14888057033128516,26.625745349976576,16.37466307277628
body_center_dark,T5a,right,721,740,0.26063714672118005,0.11175657638989489,0.14888057033128516,26.625745349976576,15.81081081081081
body_center_dark,T5b,left,721,758,0.14217541870261882,0.014668236694643318,0.1275071820079755,22.803336599820003,13.654353562005277
body_center_dark,T5b,right,721,762,0.14217541870261882,0.014668236694643318,0.1275071820079755,22.803336599820003,15.15748031496063
body_center_dark,T5c,left,721,763,0.17585759190249384,-0.02281167717476273,0.19866926907725657,35.52993755697247,21.10091743119266
body_center_dark,T5c,right,721,766,0.17585759190249384,-0.02281167717476273,0.19866926907725657,35.52993755697247,22.45430809399478
body_center_dark,T5d,left,721,740,0.2090107503622581,-0.008648808860104589,0.2176595592223627,38.92615392288676,23.91891891891892
body_center_dark,T5d,right,721,727,0.2090107503622581,-0.008648808860104589,0.2176595592223627,38.92615392288676,22.008253094910593
body_center_dark,Tm1,left,721,773,0.2595472001340163,0.25418798348785027,0.00535921664616601,0.9584402946513078,3.169469598965071
body_center_dark,Tm1,right,721,771,0.2595472001340163,0.25418798348785027,0.00535921664616601,0.9584402946513078,2.529182879377432
body_center_dark,Tm16,left,721,168,-0.11583983233081785,-0.2450590306899268,0.12921919835910894,23.109512961845237,13.095238095238095
