cell_type,sides
AVLP385,L|R
AVLP387,L|R
AVLP390,L|R
AVLP393,L|R
AVLP394,L|R
AVLP395,L|R
AVLP396,L|R
AVLP397,L|R
AVLP398,L|R
AVLP399,L|R
AVLP400,L|R
AVLP401,L|R
AVLP402,L|R
AVLP403,L|R
AVLP404,L|R
AVLP405,L|R
AVLP407,L|R
AVLP409,L|R
AVLP410,L|R
AVLP411,L|R
AVLP412,L|R
AVLP413,L|R
AVLP415,L|R
AVLP417,L|R
AVLP418,L|R
AVLP419_a,L|R
AVLP419_b,L|R
AVLP420_a,L|R
AVLP420_b,L|R
AVLP421,L|R
AVLP422,L|R
AVLP423,L|R
AVLP424,L|R
AVLP428,L|R
AVLP429,L|R
AVLP430,L|R
AVLP431,L|R
AVLP432,L|R
AVLP433_a,L|R
AVLP433_b,L|R
AVLP434_a,L|R
AVLP434_b,L|R
AVLP435_a,L|R
AVLP435_b,L|R
AVLP436,L|R
AVLP437,L|R
AVLP439,L|R
AVLP442,L|R
AVLP443,L|R
AVLP444,L|R
AVLP445,L|R
AVLP446,L|R
AVLP447,L|R
AVLP448,L|R
AVLP449,L|R
AVLP451,L|R
AVLP452,L|R
AVLP454_a1,L|R
AVLP454_a2,L|R
AVLP454_a3,L|R
AVLP454_b1,L|R
AVLP454_b2,L|R
AVLP454_b3,L|R
AVLP454_b4,L|R
AVLP454_b5,L|R
AVLP454_b6,L|R
AVLP455,L|R
AVLP457,L|R
AVLP459,L|R
AVLP460,L|R
AVLP461,L|R
AVLP462,L|R
AVLP463,L|R
AVLP464,L|R
AVLP465,L|R
AVLP469,L|R
AVLP470_a,L|R
AVLP470_b,L|R
AVLP471,L|R
AVLP473,L|R
AVLP474,L|R
AVLP475_a,L|R
AVLP475_b,L|R
AVLP476,L|R
AVLP477,L|R
AVLP478,L|R
AVLP479,L|R
AVLP480,L|R
AVLP481,L|R
AVLP483,L|R
AVLP484,L|R
AVLP485,L|R
AVLP486,L|R
AVLP487,L|R
AVLP488,L|R
AVLP489,L|R
AVLP490,L|R
AVLP491,L|R
AVLP492,L|R
