family,super_class,n_roots,mean_selected_frames,total_selected_frames,mean_spike_frames,total_spike_frames,mean_voltage_mv,max_voltage_mv
mALC1,optic,2,3.5,7,0.5,1,-67.78648,-45.09375
LTe12,visual_projection,1,5.0,5,1.0,1,-69.765625,-45.0625
ORN_VM5d,sensory,67,0.05970149253731343,4,0.014925373134328358,1,-51.299923,-45.03125
CB0746,central,3,1.0,3,0.3333333333333333,1,-48.834637,-45.0
CB2589,central,6,0.5,3,0.16666666666666666,1,-49.301876,-45.03125
CB3390,central,4,0.75,3,0.25,1,-49.533592,-45.03125
CB3820,optic,62,0.04838709677419355,3,0.016129032258064516,1,-55.588924,-45.0
LC21,visual_projection,31,0.0967741935483871,3,0.03225806451612903,1,-57.25939,-45.09375
ORN_VA6,sensory,60,0.05,3,0.016666666666666666,1,-48.34128,-45.0
ORN_VL2a,sensory,56,0.05357142857142857,3,0.017857142857142856,1,-48.664562,-45.0
ORN_VM2,sensory,37,0.08108108108108109,3,0.02702702702702703,1,-49.89579,-45.03125
CB1611,central,1,2.0,2,1.0,1,-50.19781,-45.15625
CB1876,central,11,0.18181818181818182,2,0.09090909090909091,1,-52.111973,-45.03125
CB2700,central,2,1.0,2,0.5,1,-48.808983,-45.0625
CB3831,optic,16,0.125,2,0.0625,1,-53.533573,-45.0
DNp32,descending,1,2.0,2,1.0,1,-50.2525,-45.21875
LAL113,central,3,0.6666666666666666,2,0.3333333333333333,1,-49.5975,-45.03125
LAL122,central,1,2.0,2,1.0,1,-50.46328,-45.0
LC11,visual_projection,33,0.06060606060606061,2,0.030303030303030304,1,-65.45083,-45.1875
LHAV9a1_b,central,2,1.0,2,0.5,1,-50.53836,-45.0
M_spPN5t10,central,3,0.6666666666666666,2,0.3333333333333333,1,-49.579327,-45.0
M_vPNml69,central,4,0.5,2,0.25,1,-49.150898,-45.03125
ORN_DL4,sensory,51,0.0392156862745098,2,0.0196078431372549,1,-48.84702,-45.0
ORN_VM3,sensory,37,0.05405405405405406,2,0.02702702702702703,1,-49.713356,-45.0
PS188c,central,1,2.0,2,1.0,1,-48.458126,-45.03125
PS300,central,2,1.0,2,0.5,1,-50.51719,-45.0625
PVLP017,central,2,1.0,2,0.5,1,-50.953674,-45.03125
PVLP118,central,4,0.5,2,0.25,1,-57.555313,-45.25
v2LN38,central,4,0.5,2,0.25,1,-49.611603,-45.0
"(M_lPNm12,M_lPNm13)a",central,1,1.0,1,1.0,1,-47.5775,-45.03125
AOTU064,central,1,1.0,1,1.0,1,-50.025158,-45.09375
AVLP251,central,1,1.0,1,1.0,1,-49.986874,-45.0
AVLP489,central,2,0.5,1,0.5,1,-74.685936,-50.6875
AVLP498,central,1,1.0,1,1.0,1,-55.8325,-45.1875
AVLP505,central,1,1.0,1,1.0,1,-51.577656,-45.25
"AVLP530,AVLP561",central,3,0.3333333333333333,1,0.3333333333333333,1,-51.605152,-45.40625
AVLP537,central,1,1.0,1,1.0,1,-56.774063,-45.28125
CB.FB2I3,central,5,0.2,1,0.2,1,-52.870003,-50.21875
CB.FB5D0,central,1,1.0,1,1.0,1,-49.225937,-45.09375
CB.FB5I1,central,3,0.3333333333333333,1,0.3333333333333333,1,-50.184845,-45.0
CB.FB6I0,central,4,0.25,1,0.25,1,-50.71078,-45.09375
CB0013,central,1,1.0,1,1.0,1,-49.867813,-45.1875
CB0046,central,2,0.5,1,0.5,1,-49.022575,-45.03125
CB0056,central,1,1.0,1,1.0,1,-49.877342,-45.0625
CB0130,central,1,1.0,1,1.0,1,-48.773594,-45.15625
CB0206,central,1,1.0,1,1.0,1,-48.84172,-45.09375
CB0218,central,1,1.0,1,1.0,1,-50.618282,-45.09375
CB0244,central,2,0.5,1,0.5,1,-49.704765,-45.0
CB0349,central,1,1.0,1,1.0,1,-49.87297,-45.03125
CB0478,central,2,0.5,1,0.5,1,-53.308125,-45.0
CB0492,central,1,1.0,1,1.0,1,-49.001564,-45.0625
CB0500,central,2,0.5,1,0.5,1,-50.2,-45.0625
CB0508,central,1,1.0,1,1.0,1,-49.20125,-45.125
CB0529,central,1,1.0,1,1.0,1,-56.43125,-45.1875
CB0539,central,1,1.0,1,1.0,1,-48.14797,-45.09375
CB0543,central,1,1.0,1,1.0,1,-48.952656,-45.0
CB0563,central,1,1.0,1,1.0,1,-49.132656,-45.03125
