family,super_class,left_count,right_count,bilateral_voltage_corr,turn_drive_asym_corr,mean_abs_asym_mv
PLP172,central,5,4,0.0519946120863382,0.342647555114977,3.5409996509552
AVLP039,central,3,3,0.23559096919228986,0.3412020417638624,2.8554165363311768
CB3080,central,2,2,0.8091281501276708,0.3407978039070571,0.4014843702316284
CB1165,central,3,3,0.8241685953579233,0.34033701355168305,0.23760433495044708
PS005,central,16,17,0.6053272890535227,0.3397515509099622,0.1980268359184265
LCe05,visual_projection,11,8,0.4072954926496378,0.3390311085456487,0.6968217492103577
LC10a,visual_projection,115,119,-0.10810796778593908,0.33860007064197456,0.5182787179946899
LC4,visual_projection,54,50,-0.07691858554902861,0.3375553007717388,1.0147502422332764
CB1819,central,2,2,-0.12436531199451767,0.33715897748085477,2.672968864440918
"CL328,IB070,IB071",central,6,5,0.4930938936656223,0.3353610973526453,0.24959354102611542
"AVLP393,AVLP395",central,2,3,-0.06518736054908467,0.33326140162465423,2.4329428672790527
PLP025b,central,3,4,0.20988733046592856,0.33070534561013565,1.8817447423934937
AN_AVLP_42,ascending,2,2,0.22435536237351236,0.32973462366577866,0.1771875023841858
LAL006,central,3,3,0.5833379078317953,0.3295341165521126,0.16723951697349548
CL089_b,central,4,4,0.5796261580982929,0.32944657319453186,2.552109479904175
SMP331a,central,2,2,0.8324966751474262,0.32943688055067205,0.45710936188697815
aMe1,visual_projection,2,2,0.0936511161390306,0.3293875889450672,2.215078115463257
CB1842,central,3,2,-0.05735778417464909,0.32886339709395307,4.051614284515381
SMP578,central,5,3,0.33929143979970133,0.32884674904546707,0.5143020153045654
CB1754,central,3,2,0.06865211537387925,0.3281841916093008,2.1348438262939453
PS291,central,2,2,-0.35197982198441,0.32774541914851213,2.2579686641693115
CL270b,central,2,2,0.22224254718980221,0.32701221675526265,1.257421851158142
PVLP092,central,2,2,-0.2582681417515969,0.3265691563229834,3.673515558242798
CL283b,central,2,2,0.9028769167199525,0.32498660998335654,0.7645312547683716
PVLP122b,central,2,2,0.12250649724338745,0.32356815268437583,9.905312538146973
PS109,central,2,2,0.3696713447241222,0.3227393535651565,0.8246093988418579
